SMILES,Energygap
N[C@@H](CCC(=O)O)C(=O)O,229.9155325
CC(=O)c1ccccc1I,169.8277807
Brc1sccc1Br,176.6130356
NC1CCCCCCCCCCC1,227.0591116
COC(=O)CCC(=O)OC,256.7961356
Cc1cccnc1Br,187.3534796
CCOC(=O)C(Br)(Br)C(=O)OCC,203.9153246
[O]N1C=CCC=C1,164.2925239
CC(=O)c1ccc(cc1)N1CCOCC1,151.3143827
C1CCN2CCCN=C2CC1,197.1790155
CNC1CCCCC1,215.5587541
Nc1cccc2c(N)cccc12,143.9543297
Br[C@@](c1ccccc1)(c1ccccc1)c1ccccc1,173.9367097
O=CCCCC=O,209.0991765
Oc1ccc(cc1)C(=O)CBr,163.85264
C1CC=CC1,219.524611
C[C@@H](O)C#C,241.1422961
o1c2ccccc2c2ccccc12,162.5053782
FC(F)(F)c1cccnc1,202.3220793
ClC/C=C/c1ccccc1,165.0179243
Cc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C,155.8412326
CC[C@@H](C)O,253.3341684
Cn1cnc(Cl)c1Cl,199.1839068
Cc1ccc(S)cc1,175.3297797
CC(C)[C@@H](Br)C(=O)O,223.6366775
NCC1CCCCC1,227.3232929
CCC=C(C)C,215.1094577
CS(=O)(=O)c1ccc(F)cc1,196.8621235
Clc1ccc(cc1)C(=O)CBr,165.8782391
OC[C@@H](c1ccccc1)c1ccccc1,189.4512422
BrCc1ccc(Br)cc1,176.3256364
CCOc1ccc(cc1)N=C=O,174.4983302
CCCCCCCCCC#N,257.6181724
CC(C)(C)O,248.1358839
CC[C@@H](C(=O)O)c1ccccc1,194.8465646
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,195.5600423
FC(F)(F)COC(=O)C(F)(F)F,254.2980223
C[Si](C)(C)C#C[Si](C)(C)C,220.1075669
OCCI,195.5324319
Brc1sc(Br)cc1,171.0156553
Fc1c(F)c(F)c(Br)c(F)c1F,192.4256349
Clc1nsc2ccccc12,163.3468678
CC(C)c1ccccc1N,177.7582395
Oc1ccc(Cl)cc1C=O,157.5317419
C[C@@H]1CC(=O)C=C1C,191.0934332
COc1ccc(cc1)C(=O)OC(=O)c1ccc(OC)cc1,167.2380511
CC(=O)c1ccc(cc1)N(=O)=O,169.4889259
O[C@H]1CS[C@H](O)CS1,200.7169113
Brc1ccc(I)cc1,178.1893382
C1Cc2ccccc2CO1,194.7273379
O=C1C(=O)c2ccccc2c2ccccc12,133.8244519
COC(=O)CC(=O)c1ccc(cc1)C(F)(F)F,177.2430546
Nc1cccc(c1)C#N,162.3673262
CC1(C)[C@H]2CC[C@]1(C)C(=O)OC2=O,228.9861917
COC(=O)c1ccc(cc1)C#N,174.8898958
Clc1sc2ccccc2n1,175.2921291
Fc1ccccc1C=O,175.2375358
NC(=O)OCc1ccccc1,200.1201502
COc1cccc(C)c1,186.2340035
c1ccc2nc3ccccc3cc2c1,130.9278703
Sc1cccc(Cl)c1,178.3236251
OC[C@@H](C(=O)O)c1ccccc1,201.6311919
CC(=O)c1ccc2c(Cc3ccccc23)c1,150.0323818
O=N(=O)c1ccc(C=C)cc1,153.2797409
Cc1cscc1,192.0296767
COc1cccc(Cl)c1,184.1192982
Cc1ccc(cc1)c1ccccn1,160.9786488
Nc1ccc2nc[nH]c2c1,162.9101215
COC(=O)[C@@H](O)c1ccccc1,196.2195543
S=C(NC1CCCCC1)NC1CCCCC1,178.3882585
C[C@H]1CCCCC1=O,208.9008836
Nc1c(Br)cc(Br)cc1Br,162.908239
COc1cccc(/C=C/C(=O)O)c1,152.4006008
O=CC1CC1,219.5766943
CC(C)(N)C#C,230.2029317
CCCC(=O)CC,219.7963224
CC(C)C=O,215.7124938
CC(=O)CCCCl,218.6617861
CCOC(=O)CC(=O)C(C)(C)C,210.039185
CCCCC=C,226.5056486
[O]N1C=CC=C2C=CC=C[C@@H]12,138.5000214
Clc1cnc2ccccc2c1,158.9731301
CC(C)(C)OC(=O)NO,228.8713576
C1CCCC=CCC1,214.0979132
NC(=O)c1ccccc1I,178.9636843
c1ccc2c(c1)c1cccc3cccc2c13,137.181625
CC(C)(C)OC(=O)N1CCC(CC1)C=O,192.4570103
NNC(=O)c1ccccc1,190.0360806
CN(C)CCCN,208.8462904
Nc1cc(Cl)ccc1Cl,172.5492873
CCc1cccc(C)c1N,178.1918482
O=N(=O)c1n[nH]c(Br)n1,190.5255376
Oc1ccccc1c1ccccc1,167.1740452
FC(F)(F)C(F)(I)C(F)(F)F,191.0997083
CCOC(=O)/C(=C/C)/C,197.6433722
CC(=O)c1ccccc1N,157.6603812
C[C@@H](CCC=C(C)C)CC(=O)O,202.9527258
O=C(C1CC1)c1ccccc1,180.0900629
OC(=O)C=C,209.9375285
CCC(=O)C,217.7424855
Fc1cccc(F)c1C=O,175.0543032
OC(=O)C1CCC(=O)CC1,210.9566031
OC(=O)c1ccc(cc1)C(=O)O,177.2970204
COC(OC)OC,265.9621595
ClCC=C,221.9825638
Oc1ccc2ccccc2c1,153.4083802
Cn1cccc1C=O,166.2660397
C[Si](C)(C)O[Si](C)(C)C,236.0312353
Cc1ccc(O)c(c1)C(=O)C,164.5309773
CC(=C)C(=O)OC[C@H]1CO1,200.0686945
CCCCC#C,242.9445019
Cc1ccccc1N,178.9975698
Clc1ccc2ccccc2n1,161.9079897
COc1sccc1,184.3351613
COc1ccc(CCN)cc1OC,184.6137753
COC(=O)c1ccc(Cl)cc1,177.7902424
Cn1ccc(C)n1,217.777626
O=C[C@@H]1C[C@@H]2C[C@H]1C=C2,200.3247181
OC1(O)C(=O)c2ccccc2C1=O,161.3871572
OC(=O)[C@H]1CCCN1,219.5672816
Sc1ccc(Br)cc1,172.2280027
CC[Si](Cl)(CC)CC,239.4091162
Cc1cccc(C(=O)O)c1N,156.0865887
CC(=O)Nc1ccccc1Br,180.0743752
CCCC(=O)C,220.5455682
Cc1sccc1C,187.5505174
CC(=CCC[C@@](C)(O)C=C)C,201.2452738
CI,195.2996261
OC(=O)CCc1ccccc1O,187.3861101
ClC(=O)C(Cl)(Cl)Cl,215.3993668
C=Cc1ccncc1,174.8528728
O=N(=O)c1ccc(cc1)N=C=O,161.9211673
N#CCC#N,275.6138755
OCCCCCl,255.1131564
CNC,221.5407974
O=C(C1CCCC1)c1ccccc1,181.5822793
CCOC(=O)C(F)(F)Br,221.5778205
CCO/C=C/1\N=C(OC1=O)c1ccccc1,144.3170299
CC(=C)[C@@H]1CCC(=CC1)C,206.5866305
S(Sc1ccccc1)c1ccccc1,148.9712641
C1COc2ccccc2OCCOCCOc2ccccc2OCCO1,184.1312209
CSCC[C@@H](N)C(=O)O,200.7382466
CCCCCc1ccccn1,195.4383056
FC(F)(F)c1ccc(cc1)C#N,185.1653557
